0.010000	9839	1.023071	3
0.020000	19439	1.041875	4
0.030000	28432	1.061586	5
0.040000	36789	1.087281	5
0.050000	53084	1.140212	7
0.060000	52788	1.136811	7
0.070000	67168	1.190746	9
0.080000	66839	1.189665	9
0.090000	80333	1.247358	9
0.100000	86509	1.277023	10
0.110000	86060	1.277481	11
0.120000	92011	1.310246	15
0.130000	96811	1.343825	11
0.140000	105241	1.420331	14
0.150000	109307	1.459495	16
0.160000	109987	1.460909	15
0.170000	116318	1.549889	17
0.180000	119097	1.592047	19
0.190000	119217	1.595771	20
0.200000	123580	1.694441	23
0.210000	123737	1.690505	25
0.220000	125637	1.750018	20
0.230000	128518	1.868633	24
0.240000	127909	1.875357	25
0.250000	129515	1.933900	29
0.260000	129509	2.005034	41
0.270000	129550	2.162015	39
0.280000	129059	2.248514	45
0.290000	129338	2.244893	42
0.300000	126976	2.440540	48
0.310000	126021	2.545243	59
0.320000	125541	2.550067	53
0.330000	122438	2.783792	58
0.340000	119952	2.915900	74
0.350000	120498	2.904762	72
0.360000	115539	3.202287	85
0.370000	112847	3.363519	100
0.380000	111852	3.405196	92
0.390000	110273	3.529676	88
0.400000	102982	3.983716	189
0.410000	102787	3.995603	126
0.420000	99750	4.205423	172
0.430000	91681	4.795923	205
0.440000	92157	4.767744	187
0.450000	88022	5.105212	232
0.460000	79227	5.937610	280
0.470000	79763	5.887153	404
0.480000	75184	6.381318	341
0.490000	66449	7.531355	459
0.500000	66352	7.535478	677
0.510000	62257	8.178052	668
0.520000	56856	9.150890	939
0.530000	52504	10.103764	1542
0.540000	44446	12.358368	2893
0.550000	39607	14.160426	4152
0.560000	35737	15.962952	13420
0.570000	35999	15.846385	16456
0.580000	32481	17.838675	26320
0.590000	29113	20.259300	105730
0.600000	22660	26.944616	506349
0.610000	20321	30.508291	549920
0.620000	18164	34.657784	574503
0.630000	18009	34.987007	577248
0.640000	15765	40.596386	599198
0.650000	14113	46.083187	616066
0.660000	10812	62.034405	648420
0.670000	9616	70.760712	662474
0.680000	8523	80.939339	674950
0.690000	8438	81.814056	675591
0.700000	7360	95.111687	687808
0.710000	6444	110.127403	699408
0.720000	4648	157.211914	723950
0.730000	4115	179.832321	734529
0.740000	3594	208.730103	745291
0.750000	3493	214.696823	745195
0.760000	2971	255.778519	756053
0.770000	2448	314.397461	766460
0.780000	1995	390.874695	777375
0.790000	1411	567.012024	798382
0.800000	1156	700.920410	808941
0.810000	972	844.007202	819252
0.820000	907	903.755249	818706
0.830000	711	1167.419067	829251
0.840000	647	1298.162231	839214
0.850000	388	2217.090088	859834
0.860000	254	3423.488281	869292
0.870000	193	4558.222656	879538
0.880000	191	4606.376953	879618
0.890000	149	5971.858887	889653
0.900000	97	9279.144531	899978
0.910000	37	24877.972656	920449
0.920000	23	40436.914062	930027
0.930000	10	94019.500000	940186
0.940000	6	156663.328125	939975
0.950000	5	189942.406250	949708
0.960000	4	239996.500000	959983
0.970000	1	979910.000000	979910
0.980000	1	989988.000000	989988
0.990000	1	1000000.000000	1000000
1.000000	1	1000000.000000	1000000
